hex_index,Annu_Mean_Temp,Annu_Prec,Species,index
815f3ffffffffff,25.954996744791668,2081.0,anteater,TS
81667ffffffffff,27.524673461914062,2774.0,anteater,TS
81807ffffffffff,27.020095825195312,2439.0,anteater,TS
81817ffffffffff,25.155792236328125,1500.0,anteater,TS
818bbffffffffff,24.461034138997395,1773.0,anteater,TS
8126bffffffffff,3.876703898111979,369.0,anteater,RA
81283ffffffffff,13.85203817659384,757.7039381427721,anteater,RA
8128fffffffffff,10.04561863660476,1292.0137665874402,anteater,RA
8129bffffffffff,12.792439778645834,217.0,anteater,RA
812a3ffffffffff,10.304667537341508,1157.9674177953782,anteater,RA
81443ffffffffff,22.881798540492667,1295.6089033961275,anteater,RA
81447ffffffffff,19.65512084960937,1462.0,anteater,RA
81453ffffffffff,24.81254649070036,1852.2382150547228,anteater,RA
81457ffffffffff,26.048314642764577,904.8252111760884,anteater,RA
81487ffffffffff,18.171565989619864,260.748171085992,anteater,RA
8148bffffffffff,23.066970825195312,451.0,anteater,RA
8148fffffffffff,16.610544840494793,241.0,anteater,RA
8149bffffffffff,23.972559611002605,1078.0,anteater,RA
814cfffffffffff,24.85510323158284,1596.4999505260728,anteater,RA
815f3ffffffffff,25.954996744791668,2081.0,anteater,RA
815f7ffffffffff,25.832199096679688,1491.0,anteater,RA
81663ffffffffff,27.56468709309896,1326.0,anteater,RA
81667ffffffffff,27.524673461914062,2774.0,anteater,RA
8166bffffffffff,22.76257823295141,2860.818528711634,anteater,RA
8166fffffffffff,19.71359761555989,1616.0,anteater,RA
81677ffffffffff,24.223617315126383,1025.105477125275,anteater,RA
8167bffffffffff,25.30230024829325,3541.808557777521,anteater,RA
816d3ffffffffff,21.71366038598896,1980.7205848511696,anteater,RA
816d7ffffffffff,23.171413597451195,2566.53117221861,anteater,RA
81803ffffffffff,26.12863667805989,994.0,anteater,RA
81807ffffffffff,27.020095825195312,2439.0,anteater,RA
81813ffffffffff,19.042622884114586,895.0,anteater,RA
81817ffffffffff,25.155792236328125,1500.0,anteater,RA
8181bffffffffff,24.05213091305357,1222.478812172775,anteater,RA
818a3ffffffffff,25.60678100585937,1880.0,anteater,RA
818a7ffffffffff,26.25764973958333,2851.0,anteater,RA
818abffffffffff,26.09712219238281,1998.0,anteater,RA
818afffffffffff,26.389109293619796,2471.0,anteater,RA
818b3ffffffffff,25.6031494140625,1142.0,anteater,RA
818b7ffffffffff,24.746053059895832,1500.0,anteater,RA
818bbffffffffff,24.461034138997395,1773.0,anteater,RA
818e7ffffffffff,15.733821044085174,415.7818937164618,anteater,RA
818f3ffffffffff,22.67724566714967,887.6020121017715,anteater,RA
818f7ffffffffff,24.473195393880207,1647.0,anteater,RA
81a5bffffffffff,24.078027531195172,1510.5246848739496,anteater,RA
81a83ffffffffff,17.800791422526043,1221.0,anteater,RA
81a87ffffffffff,24.70531209309896,1107.0,anteater,RA
81a8bffffffffff,21.79633076985677,1049.0,anteater,RA
81a8fffffffffff,22.62621053059896,1337.0,anteater,RA
81a93ffffffffff,18.401323054725164,1506.0340513968267,anteater,RA
81a97ffffffffff,21.608540852864586,1332.0,anteater,RA
81b27ffffffffff,20.03179423014323,510.0,anteater,RA
81b33ffffffffff,13.406331492017898,304.18048780487806,anteater,RA
81b37ffffffffff,23.38800048828125,958.0,anteater,RA
81c2fffffffffff,16.938832600911457,1074.0,anteater,RA
8126bffffffffff,3.876703898111979,369.0,badger,TS
8129bffffffffff,12.792439778645834,217.0,badger,TS
812b3ffffffffff,4.724100748697917,969.0,badger,TS
812c7ffffffffff,11.693206787109377,114.0,badger,TS
812f7ffffffffff,15.038167347907375,1577.414974825402,badger,TS
814bbffffffffff,23.828328450520832,2205.0,badger,TS
81083ffffffffff,3.387021715414956,1064.7579423102486,badger,RA
8108bffffffffff,5.0049387613932295,578.0,badger,RA
8108fffffffffff,0.9943745930989584,515.0,badger,RA
8109bffffffffff,7.260518391927083,1981.0,badger,RA
810a3ffffffffff,-5.908294677734375,561.0,badger,RA
810b3ffffffffff,-2.7024688720703125,504.0,badger,RA
810bbffffffffff,0.2131093343098958,467.0,badger,RA
810ebffffffffff,-6.400111401712525,422.00375165125496,badger,RA
81103ffffffffff,2.097559611002604,571.0,badger,RA
81107ffffffffff,-2.27081298828125,532.0,badger,RA
8110bffffffffff,5.94249979654948,483.0,badger,RA
8110fffffffffff,0.7831675211588541,696.0,badger,RA
81113ffffffffff,4.2879994710286455,600.0,badger,RA
8111bffffffffff,5.102976481119792,586.0,badger,RA
81127ffffffffff,-0.7092641194661459,460.0,badger,RA
8112fffffffffff,-1.9039204915364585,1382.0,badger,RA
81143ffffffffff,-5.6259816487630205,563.0,badger,RA
8114bffffffffff,0.118682861328125,564.0,badger,RA
8115bffffffffff,-2.3009440104166665,309.0,badger,RA
81183ffffffffff,9.649829563792498,1159.5120611363384,badger,RA
81187ffffffffff,11.945998213394924,898.7368776904499,badger,RA
81193ffffffffff,7.549263052492176,1385.0688386976126,badger,RA
81197ffffffffff,9.769960590139904,794.5075461908092,badger,RA
811e3ffffffffff,8.900711059570312,622.0,badger,RA
811e7ffffffffff,7.3310496012369795,550.0,badger,RA
811ebffffffffff,13.770665486653646,198.0,badger,RA
811efffffffffff,9.089706420898438,564.0,badger,RA
811f3ffffffffff,8.718633015950521,555.0,badger,RA
811f7ffffffffff,6.08154296875,590.0,badger,RA
811fbffffffffff,9.183247884114584,767.0,badger,RA
81207ffffffffff,2.6944071451822915,333.0,badger,RA
8120bffffffffff,8.849878946940104,694.0,badger,RA
8120fffffffffff,10.437444051106771,94.0,badger,RA
81217ffffffffff,1.8266652425130208,310.0,badger,RA
81243ffffffffff,3.343368530273437,122.0,badger,RA
81247ffffffffff,2.258611043294271,152.0,badger,RA
81253ffffffffff,-3.6010233561197915,374.0,badger,RA
81257ffffffffff,-0.7476908365885416,355.0,badger,RA
81263ffffffffff,7.992970784505208,573.0,badger,RA
81267ffffffffff,13.108673095703123,990.0,badger,RA
8126bffffffffff,3.876703898111979,369.0,badger,RA
8126fffffffffff,15.48888142903646,742.0,badger,RA
81273ffffffffff,0.97845458984375,541.0,badger,RA
81277ffffffffff,5.004984537760417,786.0,badger,RA
8127bffffffffff,6.759368896484375,288.0,badger,RA
81283ffffffffff,13.85203817659384,757.7039381427721,badger,RA
8128bffffffffff,6.026204427083333,480.0,badger,RA
8128fffffffffff,10.04561863660476,1292.0137665874402,badger,RA
81293ffffffffff,13.77355848245187,649.406546446753,badger,RA
8129bffffffffff,12.792439778645834,217.0,badger,RA
812a3ffffffffff,10.304667537341508,1157.9674177953782,badger,RA
812abffffffffff,10.320897420247396,914.0,badger,RA
812bbffffffffff,2.2704620361328125,933.0,badger,RA
812c3ffffffffff,4.298756917317708,483.0,badger,RA
812c7ffffffffff,11.693206787109377,114.0,badger,RA
812cbffffffffff,23.121505737304688,216.0,badger,RA
